saqa_id,title,pre2009_nqf_level,nqf_level,qualification_type,originator,field,nqf_subframework,min_credits,primary_qa,status
8543,Bachelor of Commerce,Level 6,NQF Level 07,National First Degree,University of the Free State,Field 003 - Business Commerce and Management Studies,HEQSF,536,CHE - Council on Higher Education,Registered-data under construction
110204,Bachelor of Laws,Not Applicable,NQF Level 08,National First Degree(Min 480),University of the Free State,Field 008 - Law Military Science and Security,HEQSF,480,CHE - Council on Higher Education,Registered
96676,Higher Certificate in Management Development,Not Applicable,NQF Level 05,Higher Certificate,University of the Free State,Field 003 - Business Commerce and Management Studies,HEQSF,120,CHE - Council on Higher Education,Registered-data under construction
96459,Postgraduate Diploma in Estate Planning,Not Applicable,NQF Level 08,Postgraduate Diploma,University of the Free State,Field 003 - Business Commerce and Management Studies,HEQSF,120,CHE - Council on Higher Education,Registered-data under construction
62970,Postgraduate Diploma in Transfusion Medicine,Level 7,NQF Level 08,Postgraduate Diploma,University of the Free State,Field 009 - Health Sciences and Social Services,HEQSF,120,CHE - Council on Higher Education,Registered-data under construction
